,CIEINDIA,CIPLA,CLEAN,COALINDIA,COCHINSHIP,COFORGE,COLPAL,CONCOR,COROMANDEL,CRAFTSMAN,CREDITACC,CRISIL,CROMPTON,CUB,CUMMINSIND,CYIENT,DABUR,DALBHARAT,DATAPATTNS,DBREALTY,DEEPAKFERT,DEEPAKNTR,DEVYANI,DIVISLAB,DIXON,DLF,DMART,DRREDDY,EASEMYTRIP,ECLERX,EICHERMOT,EIDPARRY,EIHOTEL,ELECON,ELGIEQUIP,EMAMILTD,ENDURANCE,ENGINERSIN,EQUITASBNK,ERIS,ESCORTS,EXIDEIND,FACT,FEDERALBNK,FINCABLES,FINEORG,FINPIPE,FLUOROCHEM,FORTIS,FSL,GAEL,GAIL,GESHIP,GICRE,GILLETTE,GLAND,GLAXO,GLENMARK,GMDCLTD,GMRAIRPORT,GNFC,GODFRYPHLP,GODREJAGRO,GODREJCP,GODREJIND,GODREJPROP,GPIL,GPPL,GRANULES,GRAPHITE,GRASIM,GRINDWELL,GRINFRA,GRSE,GSFC,GSPL,GUJGASLTD,GVT&D,HAL,HAPPSTMNDS,HAVELLS,HBLENGINE,HCLTECH,HDFCAMC,HDFCBANK,HDFCLIFE,HEG,HEROMOTOCO,HFCL,HINDALCO,HINDCOPPER,HINDPETRO,HINDUNILVR,HINDZINC,HOMEFIRST,HONAUT,HSCL,HUDCO,ICICIBANK,ICICIGI
2019-10-24 09:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-25 09:15:00,13.0,4.0,0.0,9.0,11.0,1.0,1.0,3.0,4.0,0.0,3.0,1.0,7.0,9.0,3.0,4.0,4.0,2.0,0.0,303.0,20.0,5.0,0.0,1.0,3.0,11.0,1.0,3.0,0.0,6.0,0.0,11.0,11.0,131.0,14.0,5.0,1.0,18.0,0.0,4.0,3.0,11.0,49.0,24.0,5.0,1.0,16.0,2.0,14.0,40.0,55.0,24.0,6.0,8.0,0.0,0.0,1.0,6.0,34.0,111.0,9.0,1.0,3.0,2.0,4.0,2.0,290.0,24.0,15.0,6.0,2.0,3.0,0.0,11.0,26.0,9.0,11.0,10.0,5.0,0.0,3.0,114.0,3.0,0.0,1.0,3.0,10.0,0.0,117.0,11.0,51.0,10.0,0.0,9.0,0.0,0.0,26.0,56.0,4.0,1.0
2019-10-27 18:00:00,13.0,4.0,0.0,9.0,11.0,1.0,1.0,3.0,4.0,0.0,3.0,1.0,7.0,9.0,3.0,4.0,4.0,2.0,0.0,303.0,20.0,5.0,0.0,1.0,3.0,11.0,1.0,3.0,0.0,6.0,0.0,11.0,11.0,131.0,14.0,5.0,1.0,18.0,0.0,4.0,3.0,11.0,49.0,24.0,5.0,1.0,16.0,2.0,14.0,40.0,55.0,24.0,6.0,8.0,0.0,0.0,1.0,6.0,34.0,111.0,9.0,1.0,3.0,2.0,4.0,2.0,290.0,24.0,15.0,6.0,2.0,3.0,0.0,11.0,26.0,9.0,11.0,10.0,5.0,0.0,3.0,114.0,3.0,0.0,1.0,3.0,10.0,0.0,117.0,11.0,51.0,10.0,0.0,9.0,0.0,0.0,26.0,56.0,4.0,1.0
2019-10-29 09:15:00,13.0,8.0,0.0,18.0,11.0,2.0,2.0,6.0,4.0,0.0,5.0,2.0,14.0,9.0,6.0,8.0,4.0,4.0,0.0,303.0,20.0,10.0,0.0,2.0,6.0,11.0,1.0,6.0,0.0,6.0,0.0,22.0,11.0,131.0,14.0,5.0,1.0,18.0,0.0,8.0,3.0,11.0,49.0,24.0,5.0,1.0,16.0,4.0,14.0,40.0,55.0,24.0,12.0,8.0,0.0,0.0,2.0,6.0,34.0,111.0,9.0,2.0,6.0,4.0,8.0,2.0,290.0,24.0,15.0,6.0,4.0,6.0,0.0,11.0,26.0,9.0,11.0,10.0,5.0,0.0,3.0,114.0,6.0,0.0,2.0,3.0,10.0,0.0,117.0,11.0,51.0,18.746305026556513,0.0,9.0,0.0,0.0,26.0,56.0,4.0,2.0
2019-10-30 09:15:00,13.0,8.0,0.0,18.0,11.0,2.0,2.0,6.0,4.0,0.0,6.0,2.0,15.0,9.0,6.0,9.0,4.0,4.0,0.0,279.0,20.0,10.0,0.0,2.0,6.0,11.0,1.0,6.0,0.0,6.0,0.0,23.0,12.0,132.0,14.0,5.0,0.0,18.0,0.0,8.0,3.0,11.0,46.0,24.0,5.0,1.0,16.0,5.0,14.0,40.0,52.0,24.0,12.0,7.0,0.0,0.0,2.0,6.0,33.0,107.0,9.0,2.0,6.0,4.0,8.0,2.0,261.0,24.0,14.0,5.0,4.0,6.0,0.0,11.0,26.0,9.0,11.0,9.0,5.0,0.0,3.0,116.0,6.0,0.0,2.0,3.0,9.0,0.0,119.0,10.0,47.0,18.746305026556513,0.0,9.0,0.0,0.0,26.0,55.0,4.0,2.0
2019-10-31 09:15:00,14.0,8.0,0.0,18.0,11.0,2.0,2.0,6.0,4.0,0.0,6.0,2.0,15.0,9.0,6.0,9.0,4.0,4.0,0.0,268.0,20.0,10.0,0.0,2.0,6.0,11.0,1.0,6.0,0.0,6.0,0.0,23.0,12.0,132.0,14.0,5.0,0.0,17.0,0.0,8.0,3.0,11.0,48.0,24.0,5.0,1.0,16.0,5.0,14.0,42.0,53.0,22.0,12.0,7.0,0.0,0.0,2.0,6.0,31.0,109.0,9.0,2.0,6.0,4.0,8.0,2.0,279.0,24.0,14.0,6.0,4.0,6.0,0.0,11.0,26.0,10.0,11.0,8.0,5.0,0.0,2.0,114.0,6.0,0.0,2.0,3.0,10.0,0.0,117.0,10.0,46.0,18.746305026556513,0.0,9.0,0.0,0.0,26.0,53.0,4.0,2.0
2019-11-01 09:15:00,14.0,8.0,0.0,19.0,11.0,2.0,2.0,6.0,4.0,0.0,6.0,2.0,15.0,9.0,6.0,9.0,4.0,4.0,0.0,256.0,19.0,11.0,0.0,2.0,6.0,11.0,1.0,6.0,0.0,6.0,0.0,22.0,12.0,125.0,14.0,5.0,0.0,17.0,0.0,8.0,3.0,10.0,49.0,24.0,5.0,1.0,17.0,5.0,13.0,41.0,53.0,22.0,12.0,7.0,0.0,0.0,2.0,6.0,32.0,110.0,9.0,2.0,7.0,4.0,8.0,2.0,275.0,23.0,15.0,6.0,4.0,6.0,0.0,11.0,25.0,9.0,11.0,9.0,5.0,0.0,2.0,120.0,6.0,0.0,2.0,3.0,10.0,0.0,116.0,10.0,48.0,18.746305026556513,0.0,9.0,0.0,0.0,27.0,50.0,4.0,2.0
2019-11-04 09:15:00,14.0,8.0,0.0,19.0,11.0,2.0,2.0,6.0,4.0,0.0,6.0,2.0,15.0,9.0,6.0,9.0,4.0,4.0,0.0,267.0,20.0,11.0,0.0,2.0,6.0,11.0,1.0,6.0,0.0,6.0,0.0,23.0,12.0,116.0,15.0,5.0,0.0,16.0,0.0,8.0,3.0,10.0,49.0,23.0,5.0,1.0,17.0,5.0,13.0,41.0,56.0,22.0,12.0,7.0,0.0,0.0,2.0,6.0,32.0,109.0,9.0,2.0,7.0,4.0,8.0,2.0,266.0,23.0,16.0,6.0,4.0,6.0,0.0,10.0,25.0,9.0,11.0,9.0,5.0,0.0,2.0,118.0,6.0,0.0,2.0,3.0,10.0,0.0,116.0,10.0,46.0,18.746305026556513,0.0,9.0,0.0,0.0,27.0,51.0,4.0,2.0
2019-11-05 09:15:00,14.0,8.0,0.0,18.0,11.0,2.0,2.0,6.0,4.0,0.0,6.0,2.0,15.0,9.0,6.0,9.0,4.0,4.0,0.0,264.0,19.0,11.0,0.0,2.0,6.0,11.0,1.0,6.0,0.0,6.0,0.0,23.0,12.0,111.0,15.0,5.0,0.0,17.0,0.0,8.0,3.0,10.0,50.0,23.0,5.0,1.0,17.0,5.0,13.0,41.0,55.0,22.0,13.0,8.0,0.0,0.0,2.0,6.0,32.0,109.0,9.0,2.0,6.0,4.0,8.0,2.0,256.0,23.0,15.0,5.0,4.0,6.0,0.0,10.0,25.0,9.0,10.0,9.0,5.0,0.0,2.0,118.0,6.0,0.0,2.0,3.0,10.0,0.0,117.0,10.0,46.0,18.746305026556513,0.0,9.0,0.0,0.0,27.0,50.0,4.0,2.0
2019-11-06 09:15:00,14.0,8.0,0.0,18.0,11.0,2.0,2.0,6.0,4.0,0.0,5.0,2.0,15.0,9.0,6.0,9.0,4.0,4.0,0.0,263.0,18.0,10.0,0.0,2.0,6.0,11.0,1.0,6.0,0.0,6.0,0.0,23.0,13.0,119.0,14.0,5.0,0.0,17.0,0.0,8.0,3.0,10.0,50.0,24.0,5.0,1.0,17.0,5.0,14.0,41.0,55.0,22.0,13.0,8.0,0.0,0.0,2.0,6.0,32.0,109.0,10.0,2.0,7.0,4.0,8.0,2.0,255.0,23.0,15.0,5.0,4.0,6.0,0.0,10.0,25.0,9.0,10.0,10.0,5.0,0.0,2.0,118.0,6.0,0.0,2.0,3.0,10.0,0.0,119.0,10.0,47.0,18.746305026556513,0.0,9.0,0.0,0.0,27.0,51.0,4.0,2.0
