,CIEINDIA,CIPLA,CLEAN,COALINDIA,COCHINSHIP,COFORGE,COLPAL,CONCOR,COROMANDEL,CRAFTSMAN,CREDITACC,CRISIL,CROMPTON,CUB,CUMMINSIND,CYIENT,DABUR,DALBHARAT,DATAPATTNS,DBREALTY,DEEPAKFERT,DEEPAKNTR,DEVYANI,DIVISLAB,DIXON,DLF,DMART,DRREDDY,EASEMYTRIP,ECLERX,EICHERMOT,EIDPARRY,EIHOTEL,ELECON,ELGIEQUIP,EMAMILTD,ENDURANCE,ENGINERSIN,EQUITASBNK,ERIS,ESCORTS,EXIDEIND,FACT,FEDERALBNK,FINCABLES,FINEORG,FINPIPE,FLUOROCHEM,FORTIS,FSL,GAEL,GAIL,GESHIP,GICRE,GILLETTE,GLAND,GLAXO,GLENMARK,GMDCLTD,GMRAIRPORT,GNFC,GODFRYPHLP,GODREJAGRO,GODREJCP,GODREJIND,GODREJPROP,GPIL,GPPL,GRANULES,GRAPHITE,GRASIM,GRINDWELL,GRINFRA,GRSE,GSFC,GSPL,GUJGASLTD,GVT&D,HAL,HAPPSTMNDS,HAVELLS,HBLENGINE,HCLTECH,HDFCAMC,HDFCBANK,HDFCLIFE,HEG,HEROMOTOCO,HFCL,HINDALCO,HINDCOPPER,HINDPETRO,HINDUNILVR,HINDZINC,HOMEFIRST,HONAUT,HSCL,HUDCO,ICICIBANK,ICICIGI
2019-10-24 09:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-25 09:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-27 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-29 09:15:00,12.0,4.0,0.0,9.0,10.0,1.0,1.0,3.0,4.0,0.0,2.0,1.0,7.0,9.0,3.0,4.0,4.0,2.0,0.0,296.0,20.0,5.0,0.0,1.0,3.0,11.0,1.0,3.0,0.0,6.0,0.0,11.0,11.0,124.0,14.0,6.0,1.0,18.0,0.0,4.0,3.0,11.0,50.0,24.0,5.0,1.0,16.0,2.0,14.0,39.0,59.0,24.0,6.0,7.0,0.0,0.0,1.0,6.0,34.0,110.0,9.0,1.0,3.0,2.0,4.0,2.0,295.0,24.0,15.0,7.0,2.0,3.0,0.0,9.0,25.0,9.0,10.0,11.0,5.0,0.0,2.0,114.0,3.0,0.0,1.0,3.0,10.0,0.0,115.0,10.0,51.0,9.0,0.0,9.0,0.0,0.0,26.0,56.0,4.0,1.0
2019-10-30 09:15:00,12.0,4.0,0.0,9.0,10.0,1.0,1.0,3.0,4.0,0.0,2.0,1.0,7.0,9.0,3.0,4.0,4.0,2.0,0.0,296.0,20.0,5.0,0.0,1.0,3.0,11.0,1.0,3.0,0.0,6.0,0.0,11.0,11.0,124.0,14.0,6.0,1.0,18.0,0.0,4.0,3.0,11.0,50.0,24.0,5.0,1.0,16.0,2.0,14.0,39.0,59.0,24.0,6.0,7.0,0.0,0.0,1.0,6.0,34.0,110.0,9.0,1.0,3.0,2.0,4.0,2.0,295.0,24.0,15.0,7.0,2.0,3.0,0.0,9.0,25.0,9.0,10.0,11.0,5.0,0.0,2.0,114.0,3.0,0.0,1.0,3.0,10.0,0.0,115.0,10.0,51.0,9.0,0.0,9.0,0.0,0.0,26.0,56.0,4.0,1.0
2019-10-31 09:15:00,12.0,4.0,0.0,9.0,10.0,1.0,1.0,3.0,4.0,0.0,2.0,1.0,7.0,9.0,3.0,4.0,4.0,2.0,0.0,296.0,20.0,5.0,0.0,1.0,3.0,11.0,1.0,3.0,0.0,6.0,0.0,11.0,11.0,124.0,14.0,6.0,1.0,18.0,0.0,4.0,3.0,11.0,50.0,24.0,5.0,1.0,16.0,2.0,14.0,39.0,59.0,24.0,6.0,7.0,0.0,0.0,1.0,6.0,34.0,110.0,9.0,1.0,3.0,2.0,4.0,2.0,295.0,24.0,15.0,7.0,2.0,3.0,0.0,9.0,25.0,9.0,10.0,11.0,5.0,0.0,2.0,114.0,3.0,0.0,1.0,3.0,10.0,0.0,115.0,10.0,51.0,9.0,0.0,9.0,0.0,0.0,26.0,56.0,4.0,1.0
2019-11-01 09:15:00,13.0,4.0,0.0,9.0,10.0,1.0,1.0,3.0,4.0,0.0,3.0,1.0,8.0,9.0,3.0,5.0,4.0,2.0,0.0,249.0,19.0,5.0,0.0,1.0,3.0,11.0,1.0,3.0,0.0,6.0,0.0,11.0,12.0,118.0,14.0,6.0,1.0,16.0,0.0,4.0,3.0,10.0,49.0,24.0,5.0,1.0,16.0,3.0,13.0,41.0,57.0,22.0,6.0,6.0,0.0,0.0,1.0,6.0,31.0,109.0,9.0,1.0,4.0,2.0,4.0,2.0,280.0,23.0,16.0,7.0,2.0,3.0,0.0,9.0,25.0,9.0,10.0,9.0,5.0,0.0,2.0,120.0,3.0,0.0,1.0,3.0,10.0,0.0,114.0,10.0,49.0,9.0,0.0,9.0,0.0,0.0,26.0,49.0,4.0,1.0
2019-11-04 09:15:00,13.0,4.0,0.0,9.0,10.0,1.0,1.0,3.0,4.0,0.0,3.0,1.0,8.0,9.0,3.0,5.0,4.0,2.0,0.0,249.0,19.0,5.0,0.0,1.0,3.0,11.0,1.0,3.0,0.0,6.0,0.0,11.0,12.0,118.0,14.0,6.0,1.0,16.0,0.0,4.0,3.0,10.0,49.0,24.0,5.0,1.0,16.0,3.0,13.0,41.0,57.0,22.0,6.0,6.0,0.0,0.0,1.0,6.0,31.0,109.0,9.0,1.0,4.0,2.0,4.0,2.0,280.0,23.0,16.0,7.0,2.0,3.0,0.0,9.0,25.0,9.0,10.0,9.0,5.0,0.0,2.0,120.0,3.0,0.0,1.0,3.0,10.0,0.0,114.0,10.0,49.0,9.0,0.0,9.0,0.0,0.0,26.0,49.0,4.0,1.0
2019-11-05 09:15:00,13.0,4.0,0.0,9.0,10.0,1.0,1.0,3.0,4.0,0.0,3.0,1.0,8.0,9.0,3.0,5.0,4.0,2.0,0.0,249.0,19.0,5.0,0.0,1.0,3.0,11.0,1.0,3.0,0.0,6.0,0.0,11.0,12.0,118.0,14.0,6.0,1.0,16.0,0.0,4.0,3.0,10.0,49.0,24.0,5.0,1.0,16.0,3.0,13.0,41.0,57.0,22.0,6.0,6.0,0.0,0.0,1.0,6.0,31.0,109.0,9.0,1.0,4.0,2.0,4.0,2.0,280.0,23.0,16.0,7.0,2.0,3.0,0.0,9.0,25.0,9.0,10.0,9.0,5.0,0.0,2.0,120.0,3.0,0.0,1.0,3.0,10.0,0.0,114.0,10.0,49.0,9.0,0.0,9.0,0.0,0.0,26.0,49.0,4.0,1.0
2019-11-06 09:15:00,13.0,4.0,0.0,9.0,9.0,1.0,1.0,3.0,4.0,0.0,2.0,1.0,8.0,9.0,3.0,5.0,4.0,2.0,0.0,256.0,18.0,5.0,0.0,1.0,3.0,10.0,1.0,3.0,0.0,6.0,0.0,12.0,13.0,112.0,14.0,6.0,1.0,17.0,0.0,4.0,3.0,10.0,50.0,24.0,5.0,1.0,17.0,3.0,13.0,41.0,59.0,22.0,7.0,7.0,0.0,0.0,1.0,6.0,32.0,108.0,10.0,1.0,4.0,2.0,4.0,2.0,261.0,22.0,16.0,6.0,2.0,3.0,0.0,8.0,25.0,9.0,9.0,10.0,5.0,0.0,2.0,118.0,3.0,0.0,1.0,3.0,10.0,0.0,117.0,10.0,48.0,9.0,0.0,9.0,0.0,0.0,27.0,50.0,4.0,1.0
