,equity
2019-10-24 09:15:00,200000.0
2019-10-25 09:15:00,201720.91881144006
2019-10-27 18:00:00,201748.91881144006
2019-10-29 09:15:00,203843.00248432008
2019-10-30 09:15:00,204614.55415241016
2019-10-31 09:15:00,205883.2243022979
2019-11-01 09:15:00,206325.67078313237
2019-11-04 09:15:00,207357.1701619867
2019-11-05 09:15:00,205447.63639838574
2019-11-06 09:15:00,204941.93379347445
2019-11-07 09:15:00,205510.58177689058
2019-11-08 09:15:00,203473.03309638778
2019-11-11 09:15:00,204879.2176185353
2019-11-13 09:15:00,203488.26151609706
2019-11-14 09:15:00,203161.1179044032
2019-11-15 09:15:00,203054.89708042715
2019-11-18 09:15:00,204096.2119803521
2019-11-19 09:15:00,204326.50187598722
2019-11-20 09:15:00,204284.20155591637
2019-11-21 09:15:00,203723.23576047624
2019-11-22 09:15:00,203613.43117188523
2019-11-25 09:15:00,205578.74349160312
2019-11-26 09:15:00,205071.99521160565
2019-11-27 09:15:00,205922.1428305247
2019-11-28 09:15:00,206368.30864081698
2019-11-29 09:15:00,207124.99041935225
2019-12-02 09:15:00,206216.0634566099
2019-12-03 09:15:00,204497.7225969691
2019-12-04 09:15:00,205686.31420418675
2019-12-05 09:15:00,204594.63543115172
2019-12-06 09:15:00,202746.66227493444
2019-12-09 09:15:00,202723.14270792695
2019-12-10 09:15:00,200635.7890819441
2019-12-11 09:15:00,200495.80956708646
2019-12-12 09:15:00,202375.67489836138
2019-12-13 09:15:00,204315.7515677959
2019-12-16 09:15:00,203727.01927575437
2019-12-17 09:15:00,206108.96914119326
2019-12-18 09:15:00,206490.1032576318
2019-12-19 09:15:00,207259.79552956074
2019-12-20 09:15:00,207695.96238007402
2019-12-23 09:15:00,207711.369171069
2019-12-24 09:15:00,207151.93218602127
2019-12-26 09:15:00,207354.04803557927
2019-12-27 09:15:00,208285.07641535046
2019-12-30 09:15:00,208798.454610779
2019-12-31 09:15:00,209235.96253904636
2020-01-01 09:15:00,210415.66512492596
2020-01-02 09:15:00,214052.3389236913
2020-01-03 09:15:00,214338.36449817583
2020-01-06 09:15:00,210127.02630884526
2020-01-07 09:15:00,212615.995597649
2020-01-08 09:15:00,212547.88255389265
2020-01-09 09:15:00,216006.2828434201
2020-01-10 09:15:00,216841.06521647435
2020-01-13 09:15:00,218613.8032419304
2020-01-14 09:15:00,220351.52349522963
2020-01-15 09:15:00,221897.52097034527
2020-01-16 09:15:00,223147.23579356007
2020-01-17 09:15:00,223326.15698724022
2020-01-20 09:15:00,222105.3543955891
2020-01-21 09:15:00,220851.09916131507
2020-01-22 09:15:00,221629.51474812272
2020-01-23 09:15:00,223922.945022954
2020-01-24 09:15:00,225436.12528632654
2020-01-27 09:15:00,225323.78064140174
2020-01-28 09:15:00,223697.13367051614
2020-01-29 09:15:00,223633.2385237902
2020-01-30 09:15:00,220732.62942068724
2020-01-31 09:15:00,219457.54763495727
2020-02-01 09:15:00,213409.3265293491
2020-02-03 09:15:00,213457.32249176936
2020-02-04 09:15:00,215972.26555794931
2020-02-05 09:15:00,217967.3237089864
2020-02-06 09:15:00,219340.94572268656
2020-02-07 09:15:00,219716.7774291603
2020-02-10 09:15:00,217470.77996496082
2020-02-11 09:15:00,217010.32646706552
2020-02-12 09:15:00,216228.45667714335
2020-02-13 09:15:00,215076.4384303003
2020-02-14 09:15:00,212462.2849610704
2020-02-17 09:15:00,209497.64147256187
2020-02-18 09:15:00,208713.71628067477
2020-02-19 09:15:00,211786.09750045903
2020-02-20 09:15:00,211677.39046640834
2020-02-24 09:15:00,207367.91825330103
2020-02-25 09:15:00,206243.15771596922
2020-02-26 09:15:00,203497.33473982266
2020-02-27 09:15:00,201378.93813678826
2020-02-28 09:15:00,193405.6406222838
2020-03-02 09:15:00,193545.31897436196
2020-03-03 09:15:00,197271.3149593919
2020-03-04 09:15:00,195737.77811384044
2020-03-05 09:15:00,196422.63988652776
2020-03-06 09:15:00,192937.78296650277
2020-03-09 09:15:00,184586.62074390208
2020-03-11 09:15:00,183441.9519793422
2020-03-12 09:15:00,167474.1657193826
2020-03-13 09:15:00,171103.61898470932
2020-03-16 09:15:00,162140.79905730538
2020-03-17 09:15:00,158816.1134943648
2020-03-18 09:15:00,150496.86368737047
2020-03-19 09:15:00,143894.16540098138
2020-03-20 09:15:00,149706.62842979372
2020-03-23 09:15:00,132902.26915602438
2020-03-24 09:15:00,132284.73634056788
2020-03-25 09:15:00,136840.6949642025
2020-03-26 09:15:00,141710.43809056206
2020-03-27 09:15:00,142071.8609370717
2020-03-30 09:15:00,140202.14920650126
2020-03-31 09:15:00,145873.18894841112
2020-04-01 09:15:00,144376.83298641033
2020-04-03 09:15:00,143427.84923129843
2020-04-07 09:15:00,151048.23198395947
2020-04-08 09:15:00,154003.87779628555
2020-04-09 09:15:00,159825.9921266595
2020-04-13 09:15:00,160323.32868749287
2020-04-15 09:15:00,163581.50735101732
2020-04-16 09:15:00,165516.70754567542
2020-04-17 09:15:00,168018.81175503903
2020-04-20 09:15:00,168728.36541244623
2020-04-21 09:15:00,165102.48505983155
2020-04-22 09:15:00,166362.16690688807
2020-04-23 09:15:00,168740.32995252608
2020-04-24 09:15:00,165535.28389966572
2020-04-27 09:15:00,166616.00732445205
2020-04-28 09:15:00,167275.1153813189
2020-04-29 09:15:00,168911.11974202684
2020-04-30 09:15:00,172313.54235581728
2020-05-04 09:15:00,166833.54095483854
2020-05-05 09:15:00,165734.49233779698
2020-05-06 09:15:00,166365.56387988833
2020-05-07 09:15:00,165666.5335700531
2020-05-08 09:15:00,165361.1296687747
2020-05-11 09:15:00,165128.65467872386
2020-05-12 09:15:00,163940.90220720627
2020-05-13 09:15:00,167484.3186041712
2020-05-14 09:15:00,165920.05237486254
2020-05-15 09:15:00,165693.7662785836
2020-05-18 09:15:00,160574.90568981654
2020-05-19 09:15:00,160860.65208973503
2020-05-20 09:15:00,162783.8397344856
2020-05-21 09:15:00,164133.1730186058
2020-05-22 09:15:00,163303.5325537289
2020-05-26 09:15:00,163872.54633579648
2020-05-27 09:15:00,165441.31520301488
2020-05-28 09:15:00,168778.69135509682
2020-05-29 09:15:00,171667.06757932322
2020-06-01 09:15:00,175764.20177339885
2020-06-02 09:15:00,177974.3571585252
2020-06-03 09:15:00,179802.49405275582
2020-06-04 09:15:00,179728.96275244313
2020-06-05 09:15:00,183910.7546485401
2020-06-08 09:15:00,186109.06212836556
2020-06-09 09:15:00,185618.3513457234
2020-06-10 09:15:00,186739.446612759
2020-06-11 09:15:00,184239.22451387465
2020-06-12 09:15:00,184281.62815023772
2020-06-15 09:15:00,183887.4111392456
2020-06-16 09:15:00,184092.04828532864
2020-06-17 09:15:00,184583.92238972528
2020-06-18 09:15:00,187649.69451997668
2020-06-19 09:15:00,189654.49350539705
2020-06-22 09:15:00,193037.07545330803
2020-06-23 09:15:00,196785.2475077655
2020-06-24 09:15:00,194133.85993411345
2020-06-25 09:15:00,195041.43074336246
2020-06-26 09:15:00,196338.3607249882
2020-06-29 09:15:00,194818.43188849988
2020-06-30 09:15:00,193593.11469800712
2020-07-01 09:15:00,193813.9806517066
2020-07-02 09:15:00,194905.59820191568
2020-07-03 09:15:00,195404.94243103266
2020-07-06 09:15:00,198659.62958114166
2020-07-07 09:15:00,198679.28188145155
2020-07-08 09:15:00,198086.69817832476
2020-07-09 09:15:00,198967.7047592997
2020-07-10 09:15:00,198469.6044968394
2020-07-13 09:15:00,198880.18557477632
2020-07-14 09:15:00,196553.26982490905
2020-07-15 09:15:00,196043.0803761189
2020-07-16 09:15:00,196725.30821447817
2020-07-17 09:15:00,199750.21500347336
2020-07-20 09:15:00,201823.23631710946
2020-07-21 09:15:00,202393.51276572028
2020-07-22 09:15:00,202111.06164933505
2020-07-23 09:15:00,203745.2565446057
2020-07-24 09:15:00,202961.5517818416
2020-07-27 09:15:00,201145.75006634902
2020-07-28 09:15:00,202344.94751855053
2020-07-29 09:15:00,203136.86479694344
2020-07-30 09:15:00,203077.83297749853
2020-07-31 09:15:00,204591.01987326954
2020-08-03 09:15:00,206392.7184706893
2020-08-04 09:15:00,208665.5439847451
2020-08-05 09:15:00,209028.20339848736
2020-08-06 09:15:00,210535.32370551987
2020-08-07 09:15:00,212050.27778868537
2020-08-10 09:15:00,215027.15129305076
2020-08-11 09:15:00,215632.27372984024
2020-08-12 09:15:00,216323.1004273577
2020-08-13 09:15:00,218508.35717520883
2020-08-14 09:15:00,216555.7577242707
2020-08-17 09:15:00,218249.5741655188
2020-08-18 09:15:00,220450.27609879826
2020-08-19 09:15:00,222272.80014682704
2020-08-20 09:15:00,223666.09074153128
2020-08-21 09:15:00,226006.00741074217
