,portfolio,investment,cash
2019-10-24 09:15:00,200000.0,0.0,200000.0
2019-10-25 09:15:00,200000.0,0.0,200000.0
2019-10-27 18:00:00,200000.0,0.0,200000.0
2019-10-29 09:15:00,201712.1082232,153100.93820617002,48611.170017029974
2019-10-30 09:15:00,202481.71791766994,153870.54790063997,48611.170017029974
2019-10-31 09:15:00,203623.42555443998,155012.25553741,48611.170017029974
2019-11-01 09:15:00,204088.88734322,155605.23874697002,48483.64859624997
2019-11-04 09:15:00,204958.46995844,156474.82136219,48483.64859624997
2019-11-05 09:15:00,203376.28843677993,154892.63984052997,48483.64859624997
2019-11-06 09:15:00,202870.09045664995,153908.93893016997,48961.151526479975
2019-11-07 09:15:00,203239.12801843995,154277.97649195997,48961.151526479975
2019-11-08 09:15:00,201656.52514259,152695.37361611,48961.151526479975
2019-11-11 09:15:00,202544.51747954992,154096.68337921996,48447.83410032997
2019-11-13 09:15:00,201074.98842442996,152627.15432409997,48447.83410032997
2019-11-14 09:15:00,200785.24908329995,199734.41498297,1050.834100329972
2019-11-15 09:15:00,200676.86148987996,152125.01302913,48551.84846074997
2019-11-18 09:15:00,201585.73430697992,153033.88584622997,48551.84846074997
2019-11-19 09:15:00,201715.97871116002,153164.13025041003,48551.84846074997
2019-11-20 09:15:00,201793.22910781996,151728.36626312998,50064.86284468997
2019-11-21 09:15:00,201380.96014810994,151316.09730341999,50064.86284468997
2019-11-22 09:15:00,201529.20245199004,151464.33960730006,50064.86284468997
2019-11-25 09:15:00,203140.33294626,154808.27080900004,48332.06213725997
2019-11-26 09:15:00,202770.81609063002,154438.75395337003,48332.06213725997
2019-11-27 09:15:00,203376.68107752997,155044.61894027,48332.06213725997
2019-11-28 09:15:00,203618.47829518994,155841.91277995997,47776.56551522997
2019-11-29 09:15:00,204223.46216705997,156446.89665183,47776.56551522997
2019-12-02 09:15:00,203468.42817183,155691.86265660002,47776.56551522997
2019-12-03 09:15:00,201988.55563023002,153540.28762900006,48448.268001229975
2019-12-04 09:15:00,202181.11151520998,201810.84351398,370.2680012299752
2019-12-05 09:15:00,201509.08021915995,201138.81221792998,370.2680012299752
2019-12-06 09:15:00,200104.74555996995,152668.96907063996,47435.77648932998
2019-12-09 09:15:00,199828.93697946996,152393.16049013997,47435.77648932998
2019-12-10 09:15:00,198232.68719678,150796.91070745,47435.77648932998
2019-12-11 09:15:00,198139.64513361003,150456.05449194004,47683.59064166998
2019-12-12 09:15:00,199637.82798885,151954.23734718002,47683.59064166998
2019-12-13 09:15:00,201101.25946968005,153417.66882801006,47683.59064166998
2019-12-16 09:15:00,200665.19167111994,154383.18484493997,46282.00682617998
2019-12-17 09:15:00,202441.92834855002,156159.92152237004,46282.00682617998
2019-12-18 09:15:00,202736.51807261,156454.51124643002,46282.00682617998
2019-12-19 09:15:00,203369.89454452996,156000.10209869,47369.79244583998
2019-12-20 09:15:00,203643.00696258998,156273.21451675,47369.79244583998
2019-12-23 09:15:00,203626.66010066995,156256.86765482996,47369.79244583998
2019-12-24 09:15:00,203916.82029223,202793.02784639,1123.7924458399793
2019-12-26 09:15:00,204012.26410027005,202888.47165443006,1123.7924458399793
2019-12-27 09:15:00,204217.16807843995,203093.3756326,1123.7924458399793
2019-12-30 09:15:00,204937.66764133004,157369.14134888005,47568.526292449984
2019-12-31 09:15:00,205226.40875314001,157657.88246069002,47568.526292449984
2020-01-01 09:15:00,206060.38338537002,158491.85709292002,47568.526292449984
2020-01-02 09:15:00,209265.51357894996,160412.10631367998,48853.40726526998
2020-01-03 09:15:00,209429.32283925996,160575.91557398997,48853.40726526998
2020-01-06 09:15:00,205967.33536049005,157113.92809522006,48853.40726526998
2020-01-07 09:15:00,207900.99443875,158330.98109797,49570.01334077998
2020-01-08 09:15:00,207977.28358488998,158407.27024411,49570.01334077998
2020-01-09 09:15:00,210802.59620749997,161232.58286671998,49570.01334077998
2020-01-10 09:15:00,211323.76840358993,163307.09385617994,48016.67454740998
2020-01-13 09:15:00,212878.50074285993,164861.82619544995,48016.67454740998
2020-01-14 09:15:00,214582.96533895,213881.69076154,701.2745774099822
2020-01-15 09:15:00,216188.69876805,169276.59033717003,46912.108430879984
2020-01-16 09:15:00,217340.72862121998,170428.62019034,46912.108430879984
2020-01-17 09:15:00,217353.31185573997,170441.20342486,46912.108430879984
2020-01-20 09:15:00,216426.77281074997,168694.2921806,47732.480630149985
2020-01-21 09:15:00,215460.66858907,167728.18795892003,47732.480630149985
2020-01-22 09:15:00,216063.87777616002,168331.39714601004,47732.480630149985
2020-01-23 09:15:00,218047.04802334998,166906.95707188,51140.09095146998
2020-01-24 09:15:00,219147.28451751996,168007.19356604997,51140.09095146998
2020-01-27 09:15:00,218833.62785283997,167693.53690136998,51140.09095146998
2020-01-28 09:15:00,217345.8552080801,166260.8060186701,51085.04918940998
2020-01-29 09:15:00,217245.56850567996,166160.51931626996,51085.04918940998
2020-01-30 09:15:00,215068.09093573003,163983.04174632003,51085.04918940998
2020-01-31 09:15:00,214010.27358928998,164859.51290688998,49150.76068239998
2020-02-01 09:15:00,208374.70691443997,207325.94623204,1048.7606823999813
2020-02-03 09:15:00,208039.42441970995,206990.66373730998,1048.7606823999813
2020-02-04 09:15:00,210027.43440643002,157952.04641273004,52075.38799369998
2020-02-05 09:15:00,211698.77159614,159623.38360244,52075.38799369998
2020-02-06 09:15:00,212966.94979031,160891.56179661,52075.38799369998
2020-02-07 09:15:00,213416.19071760998,159103.40946212,54312.78125548998
2020-02-10 09:15:00,211867.30262099998,157554.52136551,54312.78125548998
2020-02-11 09:15:00,211044.9832848,156732.20202931002,54312.78125548998
2020-02-12 09:15:00,210250.32211193995,154350.91800466998,55899.40410726998
2020-02-13 09:15:00,209347.88141253998,153448.47730527,55899.40410726998
2020-02-14 09:15:00,207449.4381348,151550.03402753003,55899.40410726998
2020-02-17 09:15:00,204975.94550137,151073.8337797,53902.11172166998
2020-02-18 09:15:00,204120.5996049,150218.48788323,53902.11172166998
2020-02-19 09:15:00,206545.1853063999,152643.07358472992,53902.11172166998
2020-02-20 09:15:00,206011.08138363995,204724.46966196998,1286.6117216699786
2020-02-24 09:15:00,201183.34429543,199896.73257376003,1286.6117216699786
2020-02-25 09:15:00,199614.54999806994,198327.93827639997,1286.6117216699786
2020-02-26 09:15:00,197369.26225004997,145129.73079555,52239.53145449998
2020-02-27 09:15:00,195748.27168759995,143508.74023309996,52239.53145449998
2020-02-28 09:15:00,189631.31665147,137391.78519697,52239.53145449998
2020-03-02 09:15:00,189458.30421303003,138632.60246966005,50825.70174336998
2020-03-03 09:15:00,191948.26570366,141122.56396029002,50825.70174336998
2020-03-04 09:15:00,190829.22486411003,140003.52312074005,50825.70174336998
2020-03-05 09:15:00,191093.43768426002,141217.19337127003,49876.24431298998
2020-03-06 09:15:00,188035.78988484998,138159.54557186,49876.24431298998
2020-03-09 09:15:00,181570.00874009,131693.76442710005,49876.24431298998
2020-03-11 09:15:00,181043.1950986,133222.66795205002,47820.527146549975
2020-03-12 09:15:00,168949.52212954997,121128.994983,47820.527146549975
2020-03-13 09:15:00,176630.45542864,175685.92828209003,944.5271465499754
2020-03-16 09:15:00,168870.52601767995,125259.98251375997,43610.54350391997
2020-03-17 09:15:00,166300.68189988995,122690.13839596999,43610.54350391997
2020-03-18 09:15:00,159913.36873106996,116302.82522714998,43610.54350391997
2020-03-19 09:15:00,154743.61575634993,116329.97569791996,38413.64005842997
2020-03-20 09:15:00,159521.01480273996,121107.37474430997,38413.64005842997
2020-03-23 09:15:00,145323.63269480996,106909.99263637999,38413.64005842997
2020-03-24 09:15:00,144533.38798550997,107348.26737837,37185.12060713997
2020-03-25 09:15:00,148018.57028491996,110833.44967778,37185.12060713997
2020-03-26 09:15:00,152052.44125118,114867.32064404002,37185.12060713997
2020-03-27 09:15:00,152470.04861472995,113231.44396327,39238.60465145997
2020-03-30 09:15:00,150792.29227975,111553.68762829002,39238.60465145997
2020-03-31 09:15:00,155222.12839497998,115983.52374352001,39238.60465145997
2020-04-01 09:15:00,154158.62543501996,114949.50486972,39209.12056529997
2020-04-03 09:15:00,151712.06142494996,150864.94085965,847.1205652999706
2020-04-07 09:15:00,161530.18423892994,160683.06367362998,847.1205652999706
2020-04-08 09:15:00,162473.23718368,122283.36255538002,40189.87462829997
2020-04-09 09:15:00,167061.08080331,126871.20617501004,40189.87462829997
2020-04-13 09:15:00,167488.99362725,127299.11899895003,40189.87462829997
2020-04-15 09:15:00,170516.41868048997,127840.68862377999,42675.730056709974
2020-04-16 09:15:00,172182.61701247,129506.88695576003,42675.730056709974
2020-04-17 09:15:00,174442.92771402,131767.19765731003,42675.730056709974
2020-04-20 09:15:00,174915.90991,129681.61187781002,45234.298032189974
2020-04-21 09:15:00,171357.17608319997,126122.87805101,45234.298032189974
2020-04-22 09:15:00,172363.42713235997,127129.12910016999,45234.298032189974
2020-04-23 09:15:00,174244.54382897998,129969.9573634,44274.586465579974
2020-04-24 09:15:00,171521.39231206,127246.80584648001,44274.586465579974
