,portfolio,investment,cash
2019-10-24 09:15:00,200000.0,0.0,200000.0
2019-10-25 09:15:00,201720.91881144006,153457.78844279,48263.13036865005
2019-10-27 18:00:00,201748.91881144006,153485.78844279,48263.13036865005
2019-10-29 09:15:00,203843.00248432008,203843.00248432008,0.0
2019-10-30 09:15:00,204614.55415241016,203698.88731795017,915.6668344599998
2019-10-31 09:15:00,205883.2243022979,204587.41449745788,1295.8098048399997
2019-11-01 09:15:00,206325.67078313237,205488.44914767236,837.2216354599998
2019-11-04 09:15:00,207357.1701619867,206458.4646797067,898.7054822799998
2019-11-05 09:15:00,205447.63639838574,203559.60304891574,1888.0333494699998
2019-11-06 09:15:00,204941.93379347445,203256.60604766445,1685.3277458100001
2019-11-07 09:15:00,205510.58177689058,204315.82662856058,1194.75514833
2019-11-08 09:15:00,203473.03309638778,202098.9179211878,1374.1151752
2019-11-11 09:15:00,204879.2176185353,204370.4557768453,508.7618416900003
2019-11-13 09:15:00,203488.26151609706,202476.44096460706,1011.8205514900001
2019-11-14 09:15:00,203161.1179044032,202779.56153867318,381.5563657299998
2019-11-15 09:15:00,203054.89708042715,202164.86034985716,890.0367305699997
2019-11-18 09:15:00,204096.2119803521,203962.0260817121,134.18589863999966
2019-11-19 09:15:00,204326.50187598722,201971.0751833372,2355.42669265
2019-11-20 09:15:00,204284.20155591637,203694.25159762637,589.9499582899998
2019-11-21 09:15:00,203723.23576047624,203180.60857826623,542.6271822100001
2019-11-22 09:15:00,203613.43117188523,201314.61508587524,2298.81608601
2019-11-25 09:15:00,205578.74349160312,205578.74349160312,0.0
2019-11-26 09:15:00,205071.99521160565,202946.18893549565,2125.80627611
2019-11-27 09:15:00,205922.1428305247,203757.5632398847,2164.57959064
2019-11-28 09:15:00,206368.30864081698,204002.42602713697,2365.88261368
2019-11-29 09:15:00,207124.99041935225,204538.47203085225,2586.5183884999997
2019-12-02 09:15:00,206216.0634566099,206216.0634566099,0.0
2019-12-03 09:15:00,204497.7225969691,204115.2805993091,382.4419976600001
2019-12-04 09:15:00,205686.31420418675,205686.31420418675,0.0
2019-12-05 09:15:00,204594.63543115172,202575.49509613172,2019.1403350199998
2019-12-06 09:15:00,202746.66227493444,200920.73515476444,1825.92712017
2019-12-09 09:15:00,202723.14270792695,201865.35511728696,857.7875906400003
2019-12-10 09:15:00,200635.7890819441,200561.7880068941,74.00107505000017
2019-12-11 09:15:00,200495.80956708646,198992.43235226645,1503.37721482
2019-12-12 09:15:00,202375.67489836138,199846.84201789138,2528.8328804700004
2019-12-13 09:15:00,204315.7515677959,203434.5703169959,881.1812508000005
2019-12-16 09:15:00,203727.01927575437,202295.14616145438,1431.8731143000005
2019-12-17 09:15:00,206108.96914119326,205195.95614169326,913.0129995000004
2019-12-18 09:15:00,206490.1032576318,205659.8570296618,830.2462279700005
2019-12-19 09:15:00,207259.79552956074,205811.26312977073,1448.5323997900007
2019-12-20 09:15:00,207695.96238007402,206580.94113515402,1115.0212449200008
2019-12-23 09:15:00,207711.369171069,205948.953673059,1762.4154980100006
2019-12-24 09:15:00,207151.93218602127,205389.97393899126,1761.9582470300006
2019-12-26 09:15:00,207354.04803557927,204976.63978704927,2377.4082485300005
2019-12-27 09:15:00,208285.07641535046,207116.51222041046,1168.5641949400008
2019-12-30 09:15:00,208798.454610779,206433.040538629,2365.4140721500007
2019-12-31 09:15:00,209235.96253904636,206700.03719312637,2535.925345920001
2020-01-01 09:15:00,210415.66512492596,207934.90249671595,2480.762628210001
2020-01-02 09:15:00,214052.3389236913,211760.7610389113,2291.5778847800007
2020-01-03 09:15:00,214338.36449817583,210928.53512007583,3409.829378100001
2020-01-06 09:15:00,210127.02630884526,206776.85448036526,3350.1718284800013
2020-01-07 09:15:00,212615.995597649,208783.288922229,3832.7066754200014
2020-01-08 09:15:00,212547.88255389265,212547.88255389265,0.0
2020-01-09 09:15:00,216006.2828434201,214937.25695620012,1069.0258872200002
2020-01-10 09:15:00,216841.06521647435,215209.06074997436,1632.0044665
2020-01-13 09:15:00,218613.8032419304,216449.9118711004,2163.89137083
2020-01-14 09:15:00,220351.52349522963,218747.87966593963,1603.6438292900002
2020-01-15 09:15:00,221897.52097034527,220512.85305695527,1384.6679133900002
2020-01-16 09:15:00,223147.23579356007,220479.58028029007,2667.6555132700005
2020-01-17 09:15:00,223326.15698724022,221212.56863936022,2113.5883478800006
2020-01-20 09:15:00,222105.3543955891,219699.24184166908,2406.1125539200007
2020-01-21 09:15:00,220851.09916131507,217213.49586899506,3637.6032923200005
2020-01-22 09:15:00,221629.51474812272,216829.66143880272,4799.85330932
2020-01-23 09:15:00,223922.945022954,218975.496131644,4947.44889131
2020-01-24 09:15:00,225436.12528632654,219764.69893686654,5671.42634946
2020-01-27 09:15:00,225323.78064140174,219619.10152152175,5704.67911988
2020-01-28 09:15:00,223697.13367051614,219415.24620680613,4281.88746371
2020-01-29 09:15:00,223633.2385237902,218958.2390771402,4674.999446649999
2020-01-30 09:15:00,220732.62942068724,216661.83834417723,4070.7910765099996
2020-01-31 09:15:00,219457.54763495727,216919.57507745727,2537.9725574999998
2020-02-01 09:15:00,213409.3265293491,209378.9386011991,4030.3879281499994
2020-02-03 09:15:00,213457.32249176936,211216.68967894936,2240.6328128199993
2020-02-04 09:15:00,215972.26555794931,209256.17700187932,6716.088556069999
2020-02-05 09:15:00,217967.3237089864,211286.2334477364,6681.090261249999
2020-02-06 09:15:00,219340.94572268656,211103.98657466657,8236.95914802
2020-02-07 09:15:00,219716.7774291603,210645.43336751033,9071.34406165
2020-02-10 09:15:00,217470.77996496082,212099.75780144084,5371.022163519999
2020-02-11 09:15:00,217010.32646706552,209041.64730252553,7968.679164539999
2020-02-12 09:15:00,216228.45667714335,206945.34795233334,9283.108724809998
2020-02-13 09:15:00,215076.4384303003,204562.9748182003,10513.463612099997
2020-02-14 09:15:00,212462.2849610704,203297.5516351404,9164.733325929996
2020-02-17 09:15:00,209497.64147256187,200689.37602895187,8808.265443609995
2020-02-18 09:15:00,208713.71628067477,200146.63011095478,8567.086169719994
2020-02-19 09:15:00,211786.09750045903,203072.40342578903,8713.694074669995
2020-02-20 09:15:00,211677.39046640834,203255.24221636835,8422.148250039994
2020-02-24 09:15:00,207367.91825330103,198802.12678359103,8565.791469709995
2020-02-25 09:15:00,206243.15771596922,197938.89423845924,8304.263477509994
2020-02-26 09:15:00,203497.33473982266,196371.21627381266,7126.118466009994
2020-02-27 09:15:00,201378.93813678826,194897.67800808826,6481.260128699994
2020-02-28 09:15:00,193405.6406222838,188026.58369835382,5379.056923929994
2020-03-02 09:15:00,193545.31897436196,187898.86195056196,5646.457023799994
2020-03-03 09:15:00,197271.3149593919,192736.9934139419,4534.321545449994
2020-03-04 09:15:00,195737.77811384044,190968.46040737044,4769.317706469994
2020-03-05 09:15:00,196422.63988652776,192101.35004328776,4321.289843239994
2020-03-06 09:15:00,192937.78296650277,190038.08213159276,2899.7008349099942
2020-03-09 09:15:00,184586.62074390208,183444.0243843821,1142.596359519994
2020-03-11 09:15:00,183441.9519793422,183441.9519793422,0.0
2020-03-12 09:15:00,167474.1657193826,167474.1657193826,0.0
2020-03-13 09:15:00,171103.61898470932,171103.61898470932,0.0
2020-03-16 09:15:00,162140.79905730538,158926.93556097537,3213.8634963299996
2020-03-17 09:15:00,158816.1134943648,155353.5079005348,3462.6055938299996
2020-03-18 09:15:00,150496.86368737047,146516.55059922047,3980.313088149999
2020-03-19 09:15:00,143894.16540098138,143894.16540098138,0.0
2020-03-20 09:15:00,149706.62842979372,148361.01335028373,1345.6150795099995
2020-03-23 09:15:00,132902.26915602438,132902.26915602438,0.0
2020-03-24 09:15:00,132284.73634056788,132284.73634056788,0.0
2020-03-25 09:15:00,136840.6949642025,136840.6949642025,0.0
2020-03-26 09:15:00,141710.43809056206,141710.43809056206,0.0
2020-03-27 09:15:00,142071.8609370717,139754.5463942917,2317.31454278
2020-03-30 09:15:00,140202.14920650126,138633.62866945125,1568.5205370500003
2020-03-31 09:15:00,145873.18894841112,144115.5576798111,1757.6312686000003
2020-04-01 09:15:00,144376.83298641033,141137.22008993034,3239.6128964800005
2020-04-03 09:15:00,143427.84923129843,140308.56891323844,3119.2803180600004
2020-04-07 09:15:00,151048.23198395947,148202.81913671948,2845.4128472400002
2020-04-08 09:15:00,154003.87779628555,150955.42072858557,3048.4570677
2020-04-09 09:15:00,159825.9921266595,154372.4558844395,5453.53624222
2020-04-13 09:15:00,160323.32868749287,153892.99527443288,6430.33341306
2020-04-15 09:15:00,163581.50735101732,157363.78042224734,6217.72692877
2020-04-16 09:15:00,165516.70754567542,159088.63715167542,6428.070394
2020-04-17 09:15:00,168018.81175503903,159981.58844562902,8037.22330941
2020-04-20 09:15:00,168728.36541244623,160218.48853850624,8509.87687394
2020-04-21 09:15:00,165102.48505983155,158172.16144953156,6930.3236103
2020-04-22 09:15:00,166362.16690688807,159820.79915065807,6541.36775623
